familia,grafo,numero_vertices,numero_arestas,densidade,grau_maximo,diametro
CUBIC,cubic_500,500,750,0.006012024048096192,3,12
CUBIC,cubic_550,550,825,0.00546448087431694,3,12
CUBIC,cubic_600,600,900,0.005008347245409015,3,12
CUBIC,cubic_650,650,975,0.004622496147919877,3,12
CUBIC,cubic_700,700,1050,0.004291845493562232,3,12
CUBIC,cubic_750,750,1125,0.004005340453938585,3,12
CUBIC,cubic_800,800,1200,0.0037546933667083854,3,12
CUBIC,cubic_850,850,1275,0.0035335689045936395,3,12
CUBIC,cubic_900,900,1350,0.0033370411568409346,3,13
CUBIC,cubic_950,950,1425,0.003161222339304531,3,12
DIMACS,C125.9,125,6963,0.8984516129032258,119,2
DIMACS,DSJC125.1,125,736,0.09496774193548387,23,4
DIMACS,DSJC125.5,125,3891,0.5020645161290322,75,2
DIMACS,DSJC125.9,125,6961,0.8981935483870968,120,2
DIMACS,DSJC250.1,250,3218,0.10338955823293172,38,3
DIMACS,DSJC500.1,500,12458,0.09986372745490982,68,3
DIMACS,DSJR500.1,500,3555,0.028496993987975953,25,17
DIMACS,MANN_a9,45,918,0.9272727272727272,41,2
DIMACS,anna,138,493,0.05215275573891886,71,5
DIMACS,brock200_2,200,9876,0.49628140703517587,114,2
DIMACS,brock200_3,200,12048,0.605427135678392,134,2
DIMACS,brock200_4,200,13089,0.6577386934673367,147,2
DIMACS,c-fat200-1,200,1534,0.0770854271356784,17,18
DIMACS,c-fat200-2,200,3235,0.16256281407035175,34,9
DIMACS,c-fat200-5,200,8473,0.42577889447236184,86,3
DIMACS,c-fat500-1,500,4459,0.03574348697394789,20,40
DIMACS,c-fat500-2,500,9139,0.07325851703406813,38,20
DIMACS,c-fat500-5,500,23191,0.1858997995991984,95,8
DIMACS,david,87,406,0.10852713178294573,82,3
DIMACS,flat300_20_0,300,21375,0.4765886287625418,160,2
DIMACS,flat300_26_0,300,21633,0.4823411371237458,158,2
DIMACS,flat300_28_0,300,21695,0.48372352285395764,162,2
DIMACS,fpsol2.i.1,269,11654,0.3233091050324585,252,3
DIMACS,fpsol2.i.2,363,8691,0.13227706497420208,346,3
DIMACS,fpsol2.i.3,363,8688,0.1322314049586777,346,3
DIMACS,games120,120,638,0.08935574229691877,13,6
DIMACS,hamming6-2,64,1824,0.9047619047619048,57,2
DIMACS,hamming6-4,64,704,0.3492063492063492,22,2
DIMACS,homer,556,1628,0.010551558752997603,99,
DIMACS,huck,74,301,0.1114402073306183,53,
DIMACS,jean,77,254,0.08680792891319207,36,5
DIMACS,johnson16-2-4,120,5460,0.7647058823529411,91,2
DIMACS,johnson8-2-4,28,210,0.5555555555555556,15,2
DIMACS,johnson8-4-4,70,1855,0.7681159420289855,53,2
DIMACS,keller4,171,9435,0.6491228070175439,124,2
DIMACS,le450_15a,450,8168,0.08085127443702055,99,4
DIMACS,le450_15b,450,8169,0.08086117297698589,94,4
DIMACS,le450_25a,450,8260,0.08176194011383321,128,4
DIMACS,le450_25b,450,8263,0.08179163573372927,111,5
DIMACS,le450_5a,450,5714,0.056560257362039096,42,3
DIMACS,le450_5b,450,5734,0.0567582281613462,42,3
DIMACS,le450_5c,450,9803,0.09703538728037614,66,3
DIMACS,le450_5d,450,9757,0.0965800544419698,68,3
DIMACS,miles1000,128,3216,0.3956692913385827,86,4
DIMACS,miles250,125,387,0.049935483870967745,16,
DIMACS,miles500,128,1170,0.14394685039370078,38,9
DIMACS,miles750,128,2113,0.2599655511811024,64,6
DIMACS,mulsol.i.1,138,3925,0.41521210197820796,121,3
DIMACS,mulsol.i.2,173,3885,0.2611238069633015,156,3
DIMACS,mulsol.i.3,174,3916,0.26018204770447145,157,3
DIMACS,mulsol.i.4,175,3946,0.25917898193760264,158,3
DIMACS,mulsol.i.5,176,3973,0.257987012987013,159,3
DIMACS,myciel3,11,20,0.36363636363636365,5,2
DIMACS,myciel4,23,71,0.28063241106719367,11,2
DIMACS,myciel5,47,236,0.2183163737280296,23,2
DIMACS,myciel6,95,755,0.1690929451287794,47,2
DIMACS,myciel7,191,2360,0.13006337834114082,95,2
DIMACS,queen10_10,100,1470,0.296969696969697,35,2
DIMACS,queen11_11,121,1980,0.2727272727272727,40,2
DIMACS,queen12_12,144,2596,0.25213675213675213,43,2
DIMACS,queen13_13,169,3328,0.23443223443223443,48,2
DIMACS,queen5_5,25,160,0.5333333333333333,16,2
DIMACS,queen6_6,36,290,0.4603174603174603,19,2
DIMACS,queen7_7,49,476,0.40476190476190477,24,2
DIMACS,queen8_8,64,728,0.3611111111111111,27,2
DIMACS,queen9_9,81,1056,0.32592592592592595,32,2
DIMACS,school1,385,19095,0.2583198051948052,282,
DIMACS,school1_nsh,352,14612,0.23653198653198654,232,
DIMACS,zeroin.i.1,126,4100,0.5206349206349207,111,3
DIMACS,zeroin.i.2,157,3541,0.28915564265882737,140,3
DIMACS,zeroin.i.3,157,3540,0.28907398334149925,140,3
HARWELL-BOEING,1138_bus,1138,1458,0.0022536413000635285,17,31
HARWELL-BOEING,494_bus,494,586,0.004812311634132922,9,26
HARWELL-BOEING,662_bus,662,906,0.004140938155591409,9,25
HARWELL-BOEING,685_bus,685,1282,0.005472318265249498,12,26
HARWELL-BOEING,ash292,292,958,0.0225486042461046,13,25
HARWELL-BOEING,ash85,85,219,0.06134453781512605,9,13
HARWELL-BOEING,bcspwr01,39,46,0.0620782726045884,5,11
HARWELL-BOEING,bcspwr02,49,59,0.050170068027210885,6,9
HARWELL-BOEING,bcspwr03,118,179,0.025930754744314066,9,14
HARWELL-BOEING,bcspwr04,274,669,0.01788722226678431,15,20
HARWELL-BOEING,bcsstk01,48,176,0.15602836879432624,11,4
HARWELL-BOEING,bcsstk02,66,2145,1.0,65,1
HARWELL-BOEING,bcsstk03,112,264,0.04247104247104247,5,
HARWELL-BOEING,bcsstk04,132,1758,0.20333102012491325,45,5
HARWELL-BOEING,bcsstk05,153,1135,0.097609219126247,23,12
HARWELL-BOEING,bcsstk06,420,3720,0.04227753153767474,27,16
HARWELL-BOEING,bcsstk07,420,3720,0.04227753153767474,27,16
HARWELL-BOEING,bcsstk08,1074,5943,0.01031410913899837,338,
HARWELL-BOEING,bcsstk09,1083,8677,0.014809618657013192,22,18
HARWELL-BOEING,bcsstk10,1086,10492,0.017808556322190257,26,
HARWELL-BOEING,bcsstk12,1473,16384,0.015112606629475486,32,
HARWELL-BOEING,bcsstk19,817,3018,0.00905392756857945,10,86
HARWELL-BOEING,bcsstk20,485,1325,0.011289085797052057,10,
HARWELL-BOEING,bcsstk21,3600,11500,0.0017751844648204748,8,
HARWELL-BOEING,bcsstk22,138,279,0.02951443986036179,7,
HARWELL-BOEING,bcsstk26,1922,14207,0.007695761995275397,32,29
HARWELL-BOEING,bcsstm07,420,3416,0.03882259347653142,25,16
HARWELL-BOEING,bcsstm12,1473,9093,0.008387385991322058,21,
HARWELL-BOEING,bcsstm13,2003,9970,0.004972561138312511,69,
HARWELL-BOEING,bfw398b,398,1256,0.015898130450742377,12,
HARWELL-BOEING,bfw62b,62,140,0.074034902168165,12,
HARWELL-BOEING,bfw782b,782,2600,0.00851423350612861,12,
HARWELL-BOEING,blckhole,2132,6370,0.0028041340948369597,19,
HARWELL-BOEING,can_1054,1054,5571,0.010039085940414213,34,15
HARWELL-BOEING,can_1072,1072,5686,0.009904957007678693,34,12
HARWELL-BOEING,can__144,144,576,0.055944055944055944,14,13
HARWELL-BOEING,can__161,161,608,0.04720496894409938,16,10
HARWELL-BOEING,can__187,187,652,0.037490656086481514,9,16
HARWELL-BOEING,can__229,229,774,0.029648356699609284,12,12
HARWELL-BOEING,can__256,256,1330,0.040747549019607844,82,6
HARWELL-BOEING,can__268,268,1407,0.03932584269662921,36,7
HARWELL-BOEING,can__445,445,1682,0.01702601477882377,12,12
HARWELL-BOEING,can__634,634,3297,0.01643069654790916,27,14
HARWELL-BOEING,can__715,715,2975,0.011655011655011656,104,14
HARWELL-BOEING,can__838,838,4586,0.013076591874035865,31,12
HARWELL-BOEING,gr_30_30,900,3422,0.00845878136200717,8,29
HARWELL-BOEING,jagmesh1,936,2664,0.006088029617441382,6,48
HARWELL-BOEING,jagmesh2,1009,2928,0.005757704469300109,6,48
HARWELL-BOEING,lund_a,147,1151,0.10725934209300159,20,13
HARWELL-BOEING,lund_b,147,1147,0.10688659025253937,20,13
HARWELL-BOEING,mhd3200b,3200,7558,0.0014766333229134104,9,
HARWELL-BOEING,nos1,237,390,0.01394550525638275,4,
HARWELL-BOEING,nos2,957,1590,0.003475820096798311,4,
HARWELL-BOEING,nos3,960,7442,0.016167014250955857,17,23
HARWELL-BOEING,nos4,100,247,0.0498989898989899,6,13
HARWELL-BOEING,nos5,468,2352,0.02152308790424422,22,11
HARWELL-BOEING,nos6,675,1290,0.005670952851961754,4,58
HARWELL-BOEING,nos7,729,1944,0.007326007326007326,6,24
HARWELL-BOEING,plat1919,1919,15240,0.008281163992586075,18,43
HARWELL-BOEING,plat362,362,2712,0.041505333557796786,18,16
HARWELL-BOEING,sherman1,1000,1375,0.0027527527527527527,6,
HARWELL-BOEING,zenios,2873,12159,0.0029471876766397746,46,
SMALL-DIAMETER,sd_3_100,100,693,0.14,22,3
SMALL-DIAMETER,sd_3_125,125,925,0.11935483870967742,26,3
SMALL-DIAMETER,sd_3_150,150,1100,0.09843400447427293,28,3
SMALL-DIAMETER,sd_3_175,175,1390,0.09129720853858785,27,3
SMALL-DIAMETER,sd_3_200,200,1562,0.07849246231155779,32,3
SMALL-DIAMETER,sd_3_225,225,1799,0.07138888888888889,28,3
SMALL-DIAMETER,sd_3_250,250,2147,0.06897991967871486,29,3
SMALL-DIAMETER,sd_3_275,275,2353,0.06245520902455209,31,3
SMALL-DIAMETER,sd_3_300,300,2531,0.05643255295429209,30,3
SMALL-DIAMETER,sd_3_325,325,2781,0.05282051282051282,31,3
SMALL-DIAMETER,sd_3_350,350,3116,0.051019238641015145,33,3
SMALL-DIAMETER,sd_3_375,375,3440,0.049055258467023174,30,3
SMALL-DIAMETER,sd_3_400,400,3678,0.04609022556390977,32,3
SMALL-DIAMETER,sd_3_425,425,3945,0.04378468368479467,30,3
SMALL-DIAMETER,sd_3_450,450,4299,0.04255382331106162,32,3
SMALL-DIAMETER,sd_3_475,475,4566,0.04055962691538974,32,3
SMALL-DIAMETER,sd_4_100,100,455,0.09191919191919191,18,4
SMALL-DIAMETER,sd_4_125,125,610,0.07870967741935483,17,4
SMALL-DIAMETER,sd_4_150,150,754,0.06747203579418344,19,4
SMALL-DIAMETER,sd_4_175,175,925,0.060755336617405585,21,4
SMALL-DIAMETER,sd_4_200,200,1073,0.05391959798994975,20,4
SMALL-DIAMETER,sd_4_225,225,1152,0.045714285714285714,18,4
SMALL-DIAMETER,sd_4_250,250,1390,0.04465863453815261,22,4
SMALL-DIAMETER,sd_4_275,275,1543,0.04095554080955541,23,4
SMALL-DIAMETER,sd_4_300,300,1663,0.03707915273132664,23,4
SMALL-DIAMETER,sd_4_325,325,1871,0.03553656220322887,23,4
SMALL-DIAMETER,sd_4_350,350,2110,0.034547687269750306,24,4
SMALL-DIAMETER,sd_4_375,375,2249,0.032071301247771834,24,4
SMALL-DIAMETER,sd_4_400,400,2380,0.02982456140350877,25,4
SMALL-DIAMETER,sd_4_425,425,2543,0.028224195338512763,23,4
SMALL-DIAMETER,sd_4_450,450,2760,0.027319970304380103,23,4
SMALL-DIAMETER,sd_4_475,475,2912,0.025867199644681323,23,4
SMALL-DIAMETER,sd_5_100,100,431,0.08707070707070708,15,5
SMALL-DIAMETER,sd_5_125,125,581,0.07496774193548388,16,5
SMALL-DIAMETER,sd_5_150,150,739,0.06612975391498882,17,5
SMALL-DIAMETER,sd_5_175,175,887,0.05825944170771757,19,5
SMALL-DIAMETER,sd_5_200,200,979,0.049195979899497484,19,5
SMALL-DIAMETER,sd_5_225,225,1156,0.04587301587301587,19,5
SMALL-DIAMETER,sd_5_250,250,1360,0.04369477911646586,19,5
SMALL-DIAMETER,sd_5_275,275,1440,0.038221632382216326,20,5
SMALL-DIAMETER,sd_5_300,300,1646,0.03670011148272018,19,5
SMALL-DIAMETER,sd_5_325,325,1871,0.03553656220322887,20,5
SMALL-DIAMETER,sd_5_350,350,2013,0.032959476054031926,23,5
SMALL-DIAMETER,sd_5_375,375,2250,0.03208556149732621,23,5
SMALL-DIAMETER,sd_5_400,400,2334,0.02924812030075188,21,5
SMALL-DIAMETER,sd_5_425,425,2500,0.02774694783573807,22,5
SMALL-DIAMETER,sd_5_450,450,2697,0.026696362286562733,24,5
SMALL-DIAMETER,sd_5_475,475,2894,0.025707306240284254,24,5
